TV,radio,newspaper,sales
230.1,37.8,69.2,22100.0
44.5,39.3,45.1,10400.0
17.2,45.9,69.3,9300.0
151.5,41.3,58.5,18500.0
180.8,10.8,58.4,12900.0
8.7,48.9,75.0,7200.0
57.5,32.8,23.5,11800.0
120.2,19.6,11.6,13200.0
8.6,2.1,1.0,4800.0
199.8,2.6,21.2,10600.0
66.1,5.8,24.2,8600.0
214.7,24.0,4.0,17400.0
23.8,35.1,65.9,9200.0
97.5,7.6,7.2,9700.0
204.1,32.9,46.0,19000.0
195.4,47.7,52.9,22400.0
67.8,36.6,114.0,12500.0
281.4,39.6,55.8,24400.0
69.2,20.5,18.3,11300.0
147.3,23.9,19.1,14600.0
218.4,27.7,53.4,18000.0
237.4,5.1,23.5,12500.0
13.2,15.9,49.6,5600.0
228.3,16.9,26.2,15500.0
62.3,12.6,18.3,9700.0
262.9,3.5,19.5,12000.0
142.9,29.3,12.6,15000.0
240.1,16.7,22.9,15900.0
248.8,27.1,22.9,18900.0
70.6,16.0,40.8,10500.0
292.9,28.3,43.2,21400.0
112.9,17.4,38.6,11900.0
97.2,1.5,30.0,9600.0
265.6,20.0,0.3,17400.0
95.7,1.4,7.4,9500.0
290.7,4.1,8.5,12800.0
266.9,43.8,5.0,25400.0
74.7,49.4,45.7,14700.0
43.1,26.7,35.1,10100.0
228.0,37.7,32.0,21500.0
202.5,22.3,31.6,16600.0
177.0,33.4,38.7,17100.0
293.6,27.7,1.8,20700.0
206.9,8.4,26.4,12900.0
25.1,25.7,43.3,8500.0
175.1,22.5,31.5,14900.0
89.7,9.9,35.7,10600.0
239.9,41.5,18.5,23200.0
227.2,15.8,49.9,14800.0
66.9,11.7,36.8,9700.0
199.8,3.1,34.6,11400.0
100.4,9.6,3.6,10700.0
216.4,41.7,39.6,22600.0
182.6,46.2,58.7,21200.0
262.7,28.8,15.9,20200.0
198.9,49.4,60.0,23700.0
7.3,28.1,41.4,5500.0
136.2,19.2,16.6,13200.0
210.8,49.6,37.7,23800.0
210.7,29.5,9.3,18400.0
53.5,2.0,21.4,8100.0
261.3,42.7,54.7,24200.0
239.3,15.5,27.3,15700.0
102.7,29.6,8.4,14000.0
131.1,42.8,28.9,18000.0
69.0,9.3,0.9,9300.0
31.5,24.6,2.2,9500.0
139.3,14.5,10.2,13400.0
237.4,27.5,11.0,18900.0
