iter	Logloss
0	0.6636242813
1	0.6403320827
2	0.6174037805
3	0.5971421231
4	0.5789507748
5	0.5630032829
6	0.5490139308
7	0.5363718954
8	0.5238148979
9	0.5122728669
10	0.5042009675
11	0.4951857663
12	0.4864746265
13	0.4787810679
14	0.4720347972
15	0.4653409465
16	0.4603951701
17	0.4550179042
18	0.4506998812
19	0.4457759643
20	0.4405067958
21	0.4358151897
22	0.4333584389
23	0.4305226615
24	0.4266056532
25	0.423851699
26	0.4216597482
27	0.4192015401
28	0.4170006313
29	0.4147828777
30	0.412622216
31	0.4111911902
32	0.4088992001
33	0.4073613199
34	0.4062950906
35	0.4044792947
36	0.403571011
37	0.4010999444
38	0.3991048577
39	0.397529002
40	0.3969598834
41	0.3961599971
42	0.3943271423
43	0.3934327029
44	0.3918954228
45	0.3904832561
46	0.3895611709
47	0.3887101934
48	0.3881137291
49	0.3870897615
50	0.3861149134
51	0.385504219
52	0.3852120732
53	0.3848628355
54	0.3839563091
55	0.3833722318
56	0.3829587443
57	0.3821012518
58	0.3812077554
59	0.3802091191
60	0.3791730216
61	0.3786084464
62	0.3774868397
63	0.3761347224
64	0.375195964
65	0.3742591772
66	0.3732378242
67	0.3730860078
68	0.3721947831
69	0.3715445701
70	0.3705695077
71	0.3695902449
72	0.3688117895
73	0.367702827
74	0.3674602723
75	0.3665260572
76	0.366104126
77	0.3658528703
78	0.3653541308
79	0.3651186911
80	0.3648033571
81	0.364596249
82	0.3641359994
83	0.3636270159
84	0.3632925655
85	0.3630582831
86	0.362154157
87	0.3617142238
88	0.361298979
89	0.3605681859
90	0.3601620278
91	0.3592772752
92	0.3588182685
93	0.3579490319
94	0.3569859065
95	0.3569115414
96	0.3566123448
97	0.3554563201
98	0.3551952919
99	0.3549612452
