iter	Passed	Remaining
0	1	189
1	4	200
2	5	170
3	6	156
4	8	152
5	9	144
6	10	136
7	12	148
8	14	145
9	15	141
10	16	131
11	17	129
12	18	126
13	20	123
14	20	116
15	21	114
16	24	117
17	26	120
18	27	118
19	28	115
20	30	113
21	31	110
22	32	108
23	33	106
24	34	103
25	35	101
26	36	99
27	37	97
28	38	95
29	40	93
30	41	91
31	42	89
32	43	87
33	44	86
34	45	83
35	46	83
36	48	81
37	49	80
38	50	78
39	51	77
40	51	74
41	52	72
42	53	71
43	54	69
44	55	68
45	57	67
46	58	65
47	59	64
48	60	62
49	61	61
50	62	60
51	63	58
52	63	56
53	64	55
54	65	53
55	66	51
56	66	50
57	67	49
58	68	47
59	69	46
60	70	44
61	71	43
62	72	42
63	73	41
64	74	39
65	75	38
66	76	37
67	76	36
68	77	34
69	78	33
70	79	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	87	26
77	88	24
78	88	23
79	89	22
80	90	21
81	92	20
82	93	19
83	94	18
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
