iter	Logloss
0	0.6697527425
1	0.6442455335
2	0.6260806309
3	0.6074130455
4	0.5911546771
5	0.5761006816
6	0.5621444188
7	0.549433076
8	0.5378913022
9	0.5277470792
10	0.5183180905
11	0.5111975509
12	0.5038230553
13	0.4971798243
14	0.4918716088
15	0.4859705293
16	0.4806354823
17	0.4758440511
18	0.4715940497
19	0.46758506
20	0.4645743209
21	0.4611784689
22	0.4580206282
23	0.455117515
24	0.4529583534
25	0.4504506829
26	0.4487643295
27	0.446472768
28	0.4445796495
29	0.442806844
30	0.4412396034
31	0.4396732202
32	0.4378743975
33	0.4359220012
34	0.4350710665
35	0.4336711584
36	0.4331267282
37	0.431989134
38	0.4312565407
39	0.4302004696
40	0.4297077308
41	0.429454632
42	0.4285976967
43	0.4283872883
44	0.4273273597
45	0.4265695208
46	0.4262704742
47	0.4252384486
48	0.4250429989
49	0.4243941575
50	0.4238028366
51	0.4230415259
52	0.4226424828
53	0.4220079572
54	0.4217694743
55	0.4216056567
56	0.4211627232
57	0.4208446031
58	0.4203622368
59	0.4200287294
60	0.4196015262
61	0.4193948896
62	0.4190226351
63	0.4183066722
64	0.4178133332
65	0.4173394535
66	0.416767549
67	0.4166461216
68	0.4163304875
69	0.4160068383
70	0.4157051344
71	0.4156161962
72	0.4154991407
73	0.4154078023
74	0.4152963188
75	0.4152008228
76	0.41468481
77	0.4142449197
78	0.4137139052
79	0.4133708825
80	0.4133014465
81	0.4130589346
82	0.4128227663
83	0.412470914
84	0.4121139183
85	0.4118555476
86	0.411708446
87	0.4112364523
88	0.4107969477
89	0.4105516069
90	0.4104471528
91	0.4103459562
92	0.4101200747
93	0.4098691619
94	0.4096096767
95	0.4093615928
96	0.4090708186
97	0.408893328
98	0.4085235167
99	0.4083165372
