iter	Passed	Remaining
0	52	5170
1	52	2575
2	52	1707
3	53	1277
4	53	1018
5	53	844
6	54	721
7	54	627
8	54	555
9	55	497
10	55	450
11	55	410
12	56	376
13	56	348
14	56	322
15	57	301
16	57	281
17	58	264
18	58	248
19	58	234
20	58	221
21	59	209
22	59	198
23	59	188
24	59	179
25	60	171
26	60	163
27	60	156
28	61	149
29	61	143
30	61	137
31	61	131
32	62	126
33	62	121
34	62	116
35	63	112
36	63	108
37	64	104
38	64	100
39	64	97
40	65	93
41	65	90
42	65	86
43	65	83
44	66	80
45	66	77
46	66	75
47	66	72
48	67	69
49	67	67
50	67	64
51	67	62
52	68	60
53	68	58
54	68	56
55	69	54
56	69	52
57	69	50
58	70	48
59	70	46
60	70	45
61	71	43
62	71	41
63	71	40
64	71	38
65	72	37
66	72	35
67	72	34
68	72	32
69	73	31
70	73	30
71	73	28
72	74	27
73	74	26
74	74	24
75	74	23
76	75	22
77	75	21
78	75	20
79	75	18
80	76	17
81	76	16
82	76	15
83	77	14
84	77	13
85	77	12
86	78	11
87	78	10
88	79	9
89	79	8
90	79	7
91	80	6
92	80	6
93	80	5
94	81	4
95	81	3
96	81	2
97	82	1
98	82	0
99	83	0
